Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Quantity,Description
690-005-299-043,EDAC Inc.,151-1206-1-ND,1,CONN RCPT USB2.0 MINI B SMD R/A
ECS-160-18-5PX-TR,ECS Inc.,XC2081CT-ND,1,CRYSTAL 16.0000MHZ 18PF SMD
EEE-HA1V4R7R,Panasonic Electronic Components,PCE4248CT-ND,2,CAP ALUM 4.7UF 20% 35V SMD
EEE-FK1C681P,Panasonic Electronic Components,PCE3794CT-ND,1,CAP ALUM 680UF 20% 16V SMD
EEE-1VA100WR,Panasonic Electronic Components,PCE3948CT-ND,2,CAP ALUM 10UF 20% 35V SMD
EEE-FK1C221P,Panasonic Electronic Components,PCE3787CT-ND,1,CAP ALUM 220UF 20% 16V SMD
G5LE-14 DC5,Omron Electronics Inc-EMC Div,Z1011-ND,2,RELAY GEN PURPOSE SPDT 10A 5V
MMBT2222ALT1G,ON Semiconductor,MMBT2222ALT1GOSCT-ND,2,TRANS NPN 40V 600MA SOT23
ATMEGA328P-AUR,Microchip Technology,ATMEGA328P-AURCT-ND,1,IC MCU 8BIT 32KB FLASH 32TQFP
LM2596S-5.0/NOPB,Texas Instruments,LM2596S-5.0/NOPB-ND,1,IC REG BUCK 5V 3A TO263-5
MAX31855KASA+T,Maxim Integrated,MAX31855KASA+TCT-ND,1,IC CONV THERMOCOUPLE-DGTL SOIC
FT232RL-REEL,"FTDI, Future Technology Devices International Ltd",768-1007-1-ND,1,IC USB FS SERIAL UART 28-SSOP
LS T67K-J1L2-1-Z,OSRAM Opto Semiconductors Inc.,475-2516-1-ND,1,LED RED CLEAR 2PLCC SMD
BLM21AG471SH1D,Murata Electronics,490-11039-1-ND,2,FERRITE BEAD 470 OHM 0805 1LN
7804,Keystone Electronics,36-7804-ND,1,CONN QC TAB 0.250 SOLDER
7802,Keystone Electronics,36-7802-ND,3,CONN QC TAB 0.250 SOLDER
CL21B104KBCNNNC,Samsung Electro-Mechanics,1276-1003-1-ND,4,CAP CER 0.1UF 50V X7R 0805
CL21B105KOFNNNG,Samsung Electro-Mechanics,1276-6471-1-ND,2,CAP CER 1UF 16V X7R 0805
08055A180JAT2A,AVX Corporation,478-1307-1-ND,2,CAP CER 18PF 50V C0G/NP0 0805
CL21B103KBANNNC,Samsung Electro-Mechanics,1276-1015-1-ND,1,CAP CER 10000PF 50V X7R 0805
MMSD4148T1G,ON Semiconductor,MMSD4148T1GOSCT-ND,4,DIODE GEN PURP 100V 200MA SOD123
RNCP0805FTD1K00,Stackpole Electronics Inc,RNCP0805FTD1K00CT-ND,7,RES 1K OHM 1% 1/4W 0805
RNCP0805FTD10K0,Stackpole Electronics Inc,RNCP0805FTD10K0CT-ND,4,RES 10K OHM 1% 1/4W 0805
B360A-13-F,Diodes Incorporated,B360A-FDICT-ND,1,DIODE SCHOTTKY 60V 3A SMA
MBR0520LT1G,ON Semiconductor,MBR0520LT1GOSCT-ND,1,DIODE SCHOTTKY 20V 500MA SOD123
